,name,tag
0,../Data\Words/downloaded_videos\10 dollars\10 dollars ⧸ 10 dollars.mp4,10 dollars
1,../Data\Words/downloaded_videos\25 Cents\25 cents ⧸ 25-cents.mp4,25 Cents
2,../Data\Words/downloaded_videos\3'o clock\3 o clock version.mp4,3'o clock
3,../Data\Words/downloaded_videos\4th of July\4th of July.mp4,4th of July
4,../Data\Words/downloaded_videos\5 Doller you mind loan me\5-DOLLAR YOU-MIND you-LOAN-me？.mp4,5 Doller you mind loan me
5,../Data\Words/downloaded_videos\A baseball bat costs how much\A baseball bat costs how much？ ⧸ BASEBALL BAT COST HOW-MUCH-[1h-version].mp4,A baseball bat costs how much
6,../Data\Words/downloaded_videos\Ability can\ability can.mp4,Ability can
7,../Data\Words/downloaded_videos\About flat O\ABOUT-[flat-O-version].mp4,About flat O
8,../Data\Words/downloaded_videos\About H hand\ABOUT-[H-hand-version].mp4,About H hand
9,../Data\Words/downloaded_videos\About index finger\ABOUT-[index-fingers-version].mp4,About index finger
10,../Data\Words/downloaded_videos\Above more than\ABOVE [more-than].mp4,Above more than
11,../Data\Words/downloaded_videos\ACCEPT\ACCEPT.mp4,ACCEPT
12,../Data\Words/downloaded_videos\Across From\ACROSS-FROM.mp4,Across From
13,../Data\Words/downloaded_videos\Actor\ACTOR.mp4,Actor
14,../Data\Words/downloaded_videos\Actor fs what sign\A-C-T-O-R-(fs) what-SIGN？.mp4,Actor fs what sign
15,../Data\Words/downloaded_videos\Add\ADD-to ⧸ additional ⧸ extra ⧸ bonus ⧸ additionally.mp4,Add
16,../Data\Words/downloaded_videos\Address\ADDRESS.mp4,Address
17,../Data\Words/downloaded_videos\Afraid\AFRAID⧸ SCARY.mp4,Afraid
18,../Data\Words/downloaded_videos\Afternoon\afternoon.mp4,Afternoon
19,"../Data\Words/downloaded_videos\Afternoon work you\AFTERNOON, WORK YOU？.mp4",Afternoon work you
20,../Data\Words/downloaded_videos\Again\AGAIN⧸repeat.mp4,Again
21,"../Data\Words/downloaded_videos\Again name you\AGAIN, NAME YOU？.mp4",Again name you
22,../Data\Words/downloaded_videos\Airplane before you\AIRPLANE BEFORE YOU？.mp4,Airplane before you
23,../Data\Words/downloaded_videos\Algebra\ALGEBRA.mp4,Algebra
24,"../Data\Words/downloaded_videos\Algebra can you explain\ALGEBRA, CAN YOU EXPLAIN ME？.mp4",Algebra can you explain
25,../Data\Words/downloaded_videos\All\ALL.mp4,All
26,../Data\Words/downloaded_videos\All day\ALL-DAY.mp4,All day
27,../Data\Words/downloaded_videos\All How\A-L-L HOW SIGN？.mp4,All How
28,../Data\Words/downloaded_videos\All lexicalized\ALL-[lexicalized].mp4,All lexicalized
29,../Data\Words/downloaded_videos\All night\ALL-NIGHT.mp4,All night
30,"../Data\Words/downloaded_videos\All night overnight\all-NIGHT [all night, overnight].mp4",All night overnight
31,../Data\Words/downloaded_videos\Allergic\ALLERGIC.mp4,Allergic
32,"../Data\Words/downloaded_videos\Allow\ALLOW-[permit, let].mp4",Allow
33,../Data\Words/downloaded_videos\Almost\ALMOST.mp4,Almost
34,../Data\Words/downloaded_videos\Alright\ALRIGHT (alright⧸rights) (double movement).mp4,Alright
35,../Data\Words/downloaded_videos\Alrights\ALRIGHT (alright⧸rights) (single movement).mp4,Alrights
36,"../Data\Words/downloaded_videos\Altogether\ALTOGETHER, HOW-MANY SIGN YOU KNOW？.mp4",Altogether
37,../Data\Words/downloaded_videos\Always\ALWAYS.mp4,Always
38,../Data\Words/downloaded_videos\Always 2\ALWAYS-[version].mp4,Always 2
39,../Data\Words/downloaded_videos\Amazed\AMAZED-[nd-1-hand⧸dh-S-version] ⧸ head knocked back ⧸ knocked me for a loop.mp4,Amazed
40,../Data\Words/downloaded_videos\Ambulance\AMBULANCE.mp4,Ambulance
41,../Data\Words/downloaded_videos\Ambulance before past you\AMBULANCE BEFORE-past YOU？.mp4,Ambulance before past you
42,../Data\Words/downloaded_videos\And\AND.mp4,And
43,"../Data\Words/downloaded_videos\Anger\ANGRY -[anger, rage].mp4",Anger
44,../Data\Words/downloaded_videos\Annually\ANNUALLY-[version]-[every-year].mp4,Annually
45,"../Data\Words/downloaded_videos\Answer\ANSWER-[order, report, respond].mp4",Answer
46,../Data\Words/downloaded_videos\Any\any.mp4,Any
47,../Data\Words/downloaded_videos\Any your family def\ANY YOUR FAMILY DEAF？.mp4,Any your family def
48,../Data\Words/downloaded_videos\Anyone\anyone.mp4,Anyone
49,../Data\Words/downloaded_videos\Apartment\APARTMENT-[A-P-T].mp4,Apartment
50,"../Data\Words/downloaded_videos\Apartment clean up normal how much\APARTMENT CLEAN-up DEPOSIT, NORMAL HOW-MUCH-[1h]？.mp4",Apartment clean up normal how much
51,../Data\Words/downloaded_videos\Appearance\appearance (face version).mp4,Appearance
52,../Data\Words/downloaded_videos\Apple\APPLE.mp4,Apple
53,../Data\Words/downloaded_videos\Apply for\APPLY-for.mp4,Apply for
54,../Data\Words/downloaded_videos\Appointement you slipped mind\APPOINTMENT YOU SLIPPED-MIND EASY？.mp4,Appointement you slipped mind
55,../Data\Words/downloaded_videos\Approve\approve-[ACCEPT].mp4,Approve
56,"../Data\Words/downloaded_videos\Approximately\APPROXIMATELY-[around, about].mp4",Approximately
57,../Data\Words/downloaded_videos\Area a handshape\AREA-[A-handshape-version].mp4,Area a handshape
58,../Data\Words/downloaded_videos\Area place\AREA-[place].mp4,Area place
59,../Data\Words/downloaded_videos\Argue\ARGUE-[quarrel].mp4,Argue
60,../Data\Words/downloaded_videos\Army\ARMY-[military]-[soldier].mp4,Army
61,../Data\Words/downloaded_videos\Arrive\ARRIVE.mp4,Arrive
62,../Data\Words/downloaded_videos\Article\article version.mp4,Article
63,../Data\Words/downloaded_videos\Ask to\ASK-to.mp4,Ask to
64,../Data\Words/downloaded_videos\Ask to how you sign\A-S-K--T-O HOW YOU SIGN？ (HOW DO YOU SIGN ASK-TO？).mp4,Ask to how you sign
65,../Data\Words/downloaded_videos\Ask to person name\ASK-to-[that-person] NAME. (Ask him⧸her⧸that-person his⧸her⧸their name.).mp4,Ask to person name
66,"../Data\Words/downloaded_videos\ASL class past you take\A-S-L CLASS, YOU PAST TAKE？.mp4",ASL class past you take
67,"../Data\Words/downloaded_videos\ASL teacher tell student shut up, why\ASL TEACHER TELL STUDENT SHUT-UP, WHY？.mp4","ASL teacher tell student shut up, why"
68,../Data\Words/downloaded_videos\ASL teacher you\ASL TEACHER YOU？.mp4,ASL teacher you
69,../Data\Words/downloaded_videos\Assistant\ASSISTANT ⧸ aide.mp4,Assistant
70,../Data\Words/downloaded_videos\Astonished\ASTONISHED ⧸ amazed ⧸ orange-EYES-[idiomatic] ⧸ astounded.mp4,Astonished
71,../Data\Words/downloaded_videos\AT\AT @.mp4,AT
72,../Data\Words/downloaded_videos\Attend\ATTEND.mp4,Attend
73,../Data\Words/downloaded_videos\Aunt\AUNT.mp4,Aunt
74,"../Data\Words/downloaded_videos\Aunt you how many\AUNT YOU, HOW-MANY？.mp4",Aunt you how many
75,"../Data\Words/downloaded_videos\AUTUMN WIND-light COOL YOU LIKE CL1-go for a stroll\AUTUMN, WIND-[light], COOL, YOU LIKE CL：1-＂go for a stroll＂？.mp4",AUTUMN WIND-light COOL YOU LIKE CL1-go for a stroll
76,../Data\Words/downloaded_videos\awe  awed  CHIN-DROP  astonished  amazed  awestruck\awe ⧸ awed ⧸ CHIN-DROP ⧸ astonished ⧸ amazed ⧸ awestruck.mp4,awe  awed  CHIN-DROP  astonished  amazed  awestruck
77,../Data\Words/downloaded_videos\AWFUL-terrible\AWFUL-[terrible].mp4,AWFUL-terrible
78,../Data\Words/downloaded_videos\AWFUL-terrible-two-handed-version\AWFUL-[terrible]-[two-handed-version].mp4,AWFUL-terrible-two-handed-version
79,../Data\Words/downloaded_videos\AWKWARD\AWKWARD.mp4,AWKWARD
80,../Data\Words/downloaded_videos\B-O-B-fs WHERE\B-O-B-[fs] WHERE？.mp4,B-O-B-fs WHERE
